image,psnr_bicubic,ssim_bicubic,dists_bicubic,niqe_bicubic,psnr_otf,ssim_otf,dists_otf,niqe_otf,psnr_otf_hard,ssim_otf_hard,dists_otf_hard,niqe_otf_hard,psnr_otf_soft,ssim_otf_soft,dists_otf_soft,niqe_otf_soft,psnr_paired,ssim_paired,dists_paired,niqe_paired,psnr_paired_hard_12000,ssim_paired_hard_12000,dists_paired_hard_12000,niqe_paired_hard_12000,psnr_paired_hard_20000,ssim_paired_hard_20000,dists_paired_hard_20000,niqe_paired_hard_20000,psnr_paired_soft_2000,ssim_paired_soft_2000,dists_paired_soft_2000,niqe_paired_soft_2000,psnr_paired_soft_20000,ssim_paired_soft_20000,dists_paired_soft_20000,niqe_paired_soft_20000
PANSHARP_Suroeste_RGB_8bit__R10__C45,14.779120801735138,0.4211458265781402,0.1819086670875549,6.87466996700161,13.80619417780938,0.4208152592182159,0.1155105829238891,5.30742237377618,13.587933058939171,0.406607836484909,0.1149442791938781,5.22960180758561,13.679171063225988,0.4201161861419678,0.1103278398513794,6.02402865246093,15.872099886354306,0.6781813502311707,0.0886945724487304,5.40948084652482,15.77542532996799,0.6844543814659119,0.0844402313232421,5.26889500964093,14.923629821729136,0.6448838114738464,0.0857449769973754,5.49199626773339,16.19199259291539,0.6978445053100586,0.0843824744224548,5.54046813085093,16.422916097623347,0.7192786335945129,0.0844653248786926,5.86450193008376
PANSHARP_Suroeste_RGB_8bit__R12__C25,18.779068151328588,0.5781990885734558,0.2037680745124817,5.39104705173271,18.58855025450208,0.5984532833099365,0.1240294575691223,4.14393264466907,17.94067678607315,0.5669879913330078,0.1189448237419128,4.16528897504657,18.606998443507223,0.60493403673172,0.1203697919845581,4.84629166655908,19.78109869896823,0.7035350799560547,0.1037169694900512,4.98057420443307,20.18831616063524,0.7423346638679504,0.0964927673339843,5.51001360003808,19.8483295683994,0.7193146347999573,0.0987499952316284,5.56683084330853,19.75963745315712,0.6853485703468323,0.1048102378845214,5.28202212470618,20.086952828926865,0.7213094830513,0.1063597798347473,5.13577971867413
PANSHARP_Suroeste_RGB_8bit__R28__C45,18.07551762651891,0.5217103958129883,0.2102044820785522,6.71699836752641,18.007298417033894,0.5715899467468262,0.1349655389785766,5.60046504688681,18.07404570393004,0.5704126358032227,0.1260376572608947,5.17256681812526,18.891394531159484,0.6052781939506531,0.1218528747558593,5.96653404602478,22.283786940264143,0.8227646946907043,0.1000628471374511,5.94824461113228,23.478821563812105,0.8401274085044861,0.0823441743850708,5.71402853467653,23.125547534356144,0.8355143666267395,0.0850036144256591,5.64863753953188,22.36179917917081,0.8276216387748718,0.0904357433319091,5.95556581833075,22.716191401824837,0.8378939628601074,0.085313081741333,6.01919567764019
PANSHARP_Suroeste_RGB_8bit__R36__C8,21.337232537351035,0.5881710052490234,0.2252061367034912,6.03873336528054,21.145284558647983,0.6065731048583984,0.1186099052429199,5.25222249895348,20.897065384897545,0.5892316699028015,0.1259123086929321,4.33227562571627,21.054454992150458,0.610413134098053,0.1270861029624939,5.50644836260793,25.493859903518544,0.8608890175819397,0.0984898209571838,5.60157313751846,25.7436504188832,0.8629125952720642,0.0809018611907959,5.11173361765619,24.10512660107106,0.8491961359977722,0.0814412832260131,4.97112719189443,25.631106034962023,0.8674448132514954,0.0897690057754516,5.26500439930856,25.154119367460066,0.8633167147636414,0.0870351195335388,5.45413306842802
PANSHARP_Suroeste_RGB_8bit__R36__C9,22.18941037627109,0.568676769733429,0.2134813070297241,6.10551009611467,21.675465944108836,0.568163275718689,0.1169396042823791,5.59225797887641,21.36899750383083,0.5477809906005859,0.1225037574768066,4.37405158656442,21.69959167094348,0.5743744969367981,0.1243171691894531,6.03155987524277,26.31555181310429,0.8532107472419739,0.094911515712738,5.45986594011679,26.34542635449096,0.8518771529197693,0.0803908109664917,4.92717990500136,25.05240574536733,0.8431363701820374,0.073209524154663,4.96207256404452,26.305535102135067,0.8579809665679932,0.0841684341430664,5.01240980550638,25.826990045692888,0.8552448749542236,0.0836517810821533,5.53116092732896
PANSHARP_Suroeste_RGB_8bit__R41__C40,13.279466569834817,0.4464430809020996,0.235578179359436,8.1037058839966,12.615311147307128,0.4263660013675689,0.1427653431892395,7.98896298716717,12.459336316486564,0.4172169268131256,0.1519697308540344,7.12494438794793,12.230166938990592,0.4027164876461029,0.1493096947669983,7.75627392153271,16.314961004848527,0.7202059626579285,0.1121379137039184,7.59774120704588,15.439785032272052,0.6983721852302551,0.0993255972862243,7.52910003171111,14.614522810779212,0.6520309448242188,0.1035795211791992,7.41241060731618,16.361116443365674,0.7263023257255554,0.1094883680343627,7.39468476661421,16.177791968950736,0.7187861800193787,0.1090896129608154,8.30165679425704
PANSHARP_Suroeste_RGB_8bit__R52__C4,15.442090135616269,0.4989117681980133,0.1565818786621093,4.65357559263701,14.71579246007439,0.4863193929195404,0.0954180359840393,3.99796589180886,14.329376841449635,0.4634713232517242,0.0953356027603149,3.22762309752023,14.671004079795582,0.4886655509471893,0.0942309498786926,3.91407452306209,16.837897616975148,0.6781813502311707,0.0812249183654785,4.60047089842514,15.77255121416764,0.6384909749031067,0.0735153555870056,4.54786348054513,16.044699269897585,0.6590368747711182,0.0691782236099243,4.62616205983512,16.93371300417667,0.684886634349823,0.0799444913864135,4.89403409181528,15.833185137051576,0.6383203864097595,0.0814598798751831,4.32015855991856
PANSHARP_Suroeste_RGB_8bit__R52__C40,14.71558871924242,0.4672877788543701,0.1922860145568847,6.53096443899322,14.148389186379394,0.495710015296936,0.1308974623680114,6.24503863193606,13.935255595473784,0.4861859977245331,0.1337812542915344,5.50774256724517,13.934918173220623,0.4906680285930633,0.1311413645744323,6.67278100412162,15.388824922551196,0.6643081307411194,0.1045318245887756,6.20865787323993,16.254306776335035,0.7055200934410095,0.0881909728050232,6.6146586989829,15.145899723467377,0.6548160314559937,0.0906887650489807,6.82272214629097,15.645394866262237,0.6776411533355713,0.0996460318565368,6.41789336870892,17.272687794479864,0.7372592091560364,0.0923728942871093,6.54569812264659
PANSHARP_Suroeste_RGB_8bit__R52__C41,17.13383462406541,0.426327109336853,0.1777094602584839,6.82266476362298,16.577203354103567,0.4263181388378143,0.1192250847816467,5.2241179624161,16.33419429358621,0.4098928272724151,0.1216180920600891,4.7011407792494,16.68422798535425,0.4396464824676513,0.1189107298851013,5.8610097412107,20.41547236181899,0.7795031666755676,0.0877430438995361,5.78368726738376,20.05003738650678,0.7775617241859436,0.0785849690437316,5.38412128894162,19.644587549098134,0.7682374119758606,0.0793120861053466,5.16987452226023,20.411418485498352,0.7828872799873352,0.0877960920333862,5.95668911229537,20.51919130183629,0.7884572148323059,0.0855389833450317,6.16159327470154
PANSHARP_Suroeste_RGB_8bit__R52__C42,19.716656785347844,0.5733869671821594,0.181217074394226,5.44016693006583,18.87807405991556,0.5729129910469055,0.1128708720207214,4.54057060953618,18.60110997269776,0.5579602122306824,0.1205385327339172,3.53853874008419,18.918452454064965,0.5818158984184265,0.1199386715888977,5.21334536359224,23.720979492816618,0.8321438431739807,0.0721389055252075,4.1718651055206,23.46938034029845,0.828231155872345,0.0727325081825256,4.28391199024213,23.089334843385416,0.8250484466552734,0.0700873136520385,4.21939551627973,23.83167969628092,0.8362336158752441,0.0723918080329895,4.35129347018038,23.753696674791435,0.8374597430229187,0.0752323865890502,4.51714725035858
