image,dists_bicubic,dists_otf,dists_otf_hard,dists_otf_soft,dists_paired,dists_paired_hard_12000,dists_paired_hard_20000,dists_paired_soft_2000,dists_paired_soft_20000
PANSHARP_Suroeste_RGB_8bit__R52__C4,0.1565818786621093,0.0954180359840393,0.0953356027603149,0.0942309498786926,0.0812249183654785,0.0735153555870056,0.0691782236099243,0.0799444913864135,0.0814598798751831
PANSHARP_Suroeste_RGB_8bit__R52__C40,0.1922860145568847,0.1308974623680114,0.1337812542915344,0.1311413645744323,0.1045318245887756,0.0881909728050232,0.0906887650489807,0.0996460318565368,0.0923728942871093
PANSHARP_Suroeste_RGB_8bit__R52__C41,0.1777094602584839,0.1192250847816467,0.1216180920600891,0.1189107298851013,0.0877430438995361,0.0785849690437316,0.0793120861053466,0.0877960920333862,0.0855389833450317
PANSHARP_Suroeste_RGB_8bit__R52__C42,0.181217074394226,0.1128708720207214,0.1205385327339172,0.1199386715888977,0.0721389055252075,0.0727325081825256,0.0700873136520385,0.0723918080329895,0.0752323865890502
PANSHARP_Suroeste_RGB_8bit__R52__C5,0.1644778847694397,0.0984987616539001,0.0971508026123046,0.0995147228240966,0.0801021456718444,0.0675864815711975,0.0665870308876037,0.0749169588088989,0.0768672823905944
PANSHARP_Suroeste_RGB_8bit__R53__C40,0.1988635063171386,0.1293429136276245,0.1311923265457153,0.1286909580230713,0.0962839126586914,0.087067425251007,0.089206576347351,0.092157244682312,0.0928550958633422
PANSHARP_Suroeste_RGB_8bit__R55__C38,0.1896328330039978,0.1085424423217773,0.1135824918746948,0.1120799779891967,0.0748504996299743,0.0704491138458252,0.06935316324234,0.0715429186820983,0.0731545090675354
PANSHARP_Suroeste_RGB_8bit__R55__C39,0.194384753704071,0.1208334565162658,0.1204314827919006,0.1206069588661193,0.0832414627075195,0.0804073810577392,0.0814762115478515,0.0808846354484558,0.0849097371101379
PANSHARP_Suroeste_RGB_8bit__R55__C40,0.1974983811378479,0.1474496722221374,0.1376928091049194,0.1295670270919799,0.108718991279602,0.0927213430404663,0.0921070575714111,0.0993461012840271,0.0985842943191528
AVERAGE,0.1909716391563415,0.11928968667984,0.118791766166687,0.1178461360931396,0.0882027840614318,0.0791507649421691,0.078769416809082,0.084224259853363,0.0835521626472473
